movie_name,message_id,date,video_path,quality,size,language,channel_type,channel_id,channel_username
"Squid Game S01 2021",249,2024-01-16,,1080p,Unknown,English,any,-1003181705395,@any_channel
"Squid Game S01 2021",250,2024-01-16,,1080p,Unknown,English,any,-1003181705395,@any_channel
"Squid Game S01 2021",251,2024-01-16,,1080p,Unknown,English,any,-1003181705395,@any_channel
"Mandala Murders 2025 S01",4,2024-01-16,,1080p,Unknown,Hindi,main,-1003251791991,@EntertainmentTadka786
"Mandala Murders 2025 S01",5,2024-01-16,,1080p,Unknown,Hindi,main,-1003251791991,@EntertainmentTadka786
"Mandala Murders 2025 S01",6,2024-01-16,,1080p,Unknown,Hindi,main,-1003251791991,@EntertainmentTadka786
"Zebra 2024",7,2024-01-16,,1080p,Unknown,Hindi,main,-1003251791991,@EntertainmentTadka786
"Zebra 2024",8,2024-01-16,,1080p,Unknown,Hindi,main,-1003251791991,@EntertainmentTadka786
"Zebra 2024",9,2024-01-16,,1080p,Unknown,Hindi,main,-1003251791991,@EntertainmentTadka786
"Zebra 2024",10,2024-01-16,,1080p,Unknown,Hindi,main,-1003251791991,@EntertainmentTadka786
"Zebra 2024",11,2024-01-16,,1080p,Unknown,Hindi,main,-1003251791991,@EntertainmentTadka786
"Zebra 2024",12,2024-01-16,,1080p,Unknown,Hindi,main,-1003251791991,@EntertainmentTadka786
"Zebra 2024",21,2024-01-16,,1080p,Unknown,Hindi,main,-1003251791991,@EntertainmentTadka786
"Zebra 2024",22,2024-01-16,,1080p,Unknown,Hindi,main,-1003251791991,@EntertainmentTadka786
"Zebra 2024",23,2024-01-16,,1080p,Unknown,Hindi,main,-1003251791991,@EntertainmentTadka786
"Show Time 2025",13,2024-01-16,,1080p,Unknown,Hindi,main,-1003251791991,@EntertainmentTadka786
"Show Time 2025",14,2024-01-16,,1080p,Unknown,Hindi,main,-1003251791991,@EntertainmentTadka786
"Show Time 2025",15,2024-01-16,,1080p,Unknown,Hindi,main,-1003251791991,@EntertainmentTadka786
"Show Time 2025",16,2024-01-16,,1080p,Unknown,Hindi,main,-1003251791991,@EntertainmentTadka786
"Show Time 2025",17,2024-01-16,,1080p,Unknown,Hindi,main,-1003251791991,@EntertainmentTadka786
"Show Time 2025",26,2024-01-16,,1080p,Unknown,Hindi,main,-1003251791991,@EntertainmentTadka786
"Show Time 2025",27,2024-01-16,,1080p,Unknown,Hindi,main,-1003251791991,@EntertainmentTadka786
"Show Time 2025",28,2024-01-16,,1080p,Unknown,Hindi,main,-1003251791991,@EntertainmentTadka786
"Show Time 2025",29,2024-01-16,,1080p,Unknown,Hindi,main,-1003251791991,@EntertainmentTadka786
"Show Time 2025",30,2024-01-16,,1080p,Unknown,Hindi,main,-1003251791991,@EntertainmentTadka786
"Taskaree: The Smugglers Web (2026)",31,2024-01-16,,1080p,Unknown,Hindi,main,-1003251791991,@EntertainmentTadka786
"Taskaree: The Smugglers Web (2026)",32,2024-01-16,,1080p,Unknown,Hindi,main,-1003251791991,@EntertainmentTadka786
"Taskaree: The Smugglers Web (2026)",33,2024-01-16,,1080p,Unknown,Hindi,main,-1003251791991,@EntertainmentTadka786
"Andhadhun (2018)",34,2024-01-16,,1080p,Unknown,Hindi,main,-1003251791991,@EntertainmentTadka786
"Andhadhun (2018)",35,2024-01-16,,1080p,Unknown,Hindi,main,-1003251791991,@EntertainmentTadka786
"Andhadhun (2018)",36,2024-01-16,,1080p,Unknown,Hindi,main,-1003251791991,@EntertainmentTadka786
"Andhadhun (2018)",37,2024-01-16,,1080p,Unknown,Hindi,main,-1003251791991,@EntertainmentTadka786
"Andhadhun (2018)",38,2024-01-16,,1080p,Unknown,Hindi,main,-1003251791991,@EntertainmentTadka786
"Andhadhun (2018)",39,2024-01-16,,1080p,Unknown,Hindi,main,-1003251791991,@EntertainmentTadka786
"Andhadhun (2018)",40,2024-01-16,,1080p,Unknown,Hindi,main,-1003251791991,@EntertainmentTadka786
"Andhadhun (2018)",41,2024-01-16,,1080p,Unknown,Hindi,main,-1003251791991,@EntertainmentTadka786
"Andhadhun (2018)",42,2024-01-16,,1080p,Unknown,Hindi,main,-1003251791991,@EntertainmentTadka786
"Andhadhun (2018)",43,2024-01-16,,1080p,Unknown,Hindi,main,-1003251791991,@EntertainmentTadka786
"Andhadhun (2018)",44,2024-01-16,,1080p,Unknown,Hindi,main,-1003251791991,@EntertainmentTadka786
"Andhadhun (2018)",45,2024-01-16,,1080p,Unknown,Hindi,main,-1003251791991,@EntertainmentTadka786
"Andhadhun (2018)",46,2024-01-16,,1080p,Unknown,Hindi,main,-1003251791991,@EntertainmentTadka786
"Andhadhun (2018)",47,2024-01-16,,1080p,Unknown,Hindi,main,-1003251791991,@EntertainmentTadka786
"Anyaa 2025 S01",48,2024-01-16,,1080p,Unknown,Hindi,main,-1003251791991,@EntertainmentTadka786
"Anyaa 2025 S01",49,2024-01-16,,1080p,Unknown,Hindi,main,-1003251791991,@EntertainmentTadka786
"Anyaa 2025 S01",50,2024-01-16,,1080p,Unknown,Hindi,main,-1003251791991,@EntertainmentTadka786
"Rangeen 2025 S01",51,2024-01-16,,1080p,Unknown,Hindi,main,-1003251791991,@EntertainmentTadka786
"Rangeen 2025 S01",52,2024-01-16,,1080p,Unknown,Hindi,main,-1003251791991,@EntertainmentTadka786
"Rangeen 2025 S01",53,2024-01-16,,1080p,Unknown,Hindi,main,-1003251791991,@EntertainmentTadka786
"3BHK (2025)",330,2024-01-16,,1080p,Unknown,Hindi,backup,-1002337293281,@ETBackup
"3BHK (2025)",331,2024-01-16,,1080p,Unknown,Hindi,backup,-1002337293281,@ETBackup
"3BHK (2025)",332,2024-01-16,,1080p,Unknown,Hindi,backup,-1002337293281,@ETBackup
"3BHK (2025)",333,2024-01-16,,1080p,Unknown,Hindi,backup,-1002337293281,@ETBackup
"Drive (2025)",2,2024-01-16,,Theater,Unknown,Hindi,theater,-1003614546520,@threater_print_movies
"Drive (2025)",3,2024-01-16,,Theater,Unknown,Hindi,theater,-1003614546520,@threater_print_movies
"Drive (2025)",4,2024-01-16,,Theater,Unknown,Hindi,theater,-1003614546520,@threater_print_movies
"Drive (2025)",5,2024-01-16,,Theater,Unknown,Hindi,theater,-1003614546520,@threater_print_movies
"Drive (2025)",6,2024-01-16,,Theater,Unknown,Hindi,theater,-1003614546520,@threater_print_movies
"Drive (2025)",7,2024-01-16,,Theater,Unknown,Hindi,theater,-1003614546520,@threater_print_movies
"Drive (2025)",8,2024-01-16,,Theater,Unknown,Hindi,theater,-1003614546520,@threater_print_movies
"Drive (2025)",9,2024-01-16,,Theater,Unknown,Hindi,theater,-1003614546520,@threater_print_movies
"Drive (2025)",10,2024-01-16,,Theater,Unknown,Hindi,theater,-1003614546520,@threater_print_movies
"Drive (2025)",11,2024-01-16,,Theater,Unknown,Hindi,theater,-1003614546520,@threater_print_movies
"Drive (2025)",12,2024-01-16,,Theater,Unknown,Hindi,theater,-1003614546520,@threater_print_movies
"The Raja Saab 2026",36,2024-01-16,,1080p,Unknown,Hindi,private,-1002831605258,@private_channel
"The Raja Saab 2026",37,2024-01-16,,1080p,Unknown,Hindi,private,-1002831605258,@private_channel
"The Raja Saab 2026",38,2024-01-16,,1080p,Unknown,Hindi,private,-1002831605258,@private_channel
"The Raja Saab 2026",39,2024-01-16,,1080p,Unknown,Hindi,private,-1002831605258,@private_channel
"GUYS BACKUP CHANNEL JOIN KARO",3,2024-01-16,,Unknown,Unknown,Hindi,backup2,-1002964109368,@ETBackup
